Customer_ID,PurchasesFromCatalog,PurchasesFromStore,PurchasesFromWeb
1,4,9,3
2,3,7,7
3,2,2,3
4,0,3,1
5,11,7,6
6,1,4,2
7,1,5,6
8,0,4,3
9,6,7,6
10,2,3,2
11,1,3,4
12,1,2,1
13,2,9,7
14,0,4,2
15,0,3,0
16,1,5,8
17,1,2,1
18,0,3,2
19,0,4,2
20,0,4,3
21,0,3,1
22,1,8,5
23,5,4,4
24,1,5,5
25,3,4,5
26,5,11,4
27,0,3,1
28,3,5,8
29,1,5,5
30,4,8,8
31,1,6,4
32,3,11,8
33,2,5,6
34,0,2,1
35,0,3,1
36,1,4,5
37,1,7,4
38,6,7,4
39,7,9,5
40,1,3,2
41,5,10,7
42,2,4,3
43,0,3,2
44,2,10,4
45,1,2,1
46,1,4,2
47,6,9,9
48,4,11,4
49,1,7,4
50,2,4,7
51,2,8,6
52,1,7,7
53,0,3,1
54,4,9,5
55,1,3,3
56,4,7,4
57,4,3,3
58,1,4,3
59,0,3,2
60,1,5,2
61,3,6,3
62,7,11,3
63,0,3,3
64,3,5,8
65,4,9,4
66,5,10,6
67,0,3,2
68,1,6,5
69,1,6,4
70,2,5,9
71,2,8,7
72,1,5,7
73,2,6,8
74,0,2,1
75,1,5,9
76,2,6,3
77,2,11,2
78,2,10,7
79,4,9,11
80,0,3,2
81,5,3,5
82,2,11,6
83,1,6,11
84,8,11,3
85,2,11,6
86,4,4,1
87,1,2,1
88,0,3,2
89,4,11,11
90,1,4,4
91,0,3,2
92,5,8,3
93,3,13,4
94,7,10,4
95,4,10,3
96,0,4,1
97,7,9,7
98,0,3,2
99,0,2,1
100,1,7,8
101,0,4,2
102,1,2,2
103,4,10,5
104,5,9,8
105,10,13,3
106,1,4,1
107,4,6,3
108,3,13,3
109,6,9,8
110,6,7,5
111,1,4,1
112,0,3,1
113,6,4,5
114,3,7,8
115,0,2,1
116,1,7,8
117,2,6,7
118,1,4,5
119,2,12,7
120,1,2,0
121,0,3,1
122,1,7,9
123,6,10,7
124,2,2,2
125,1,2,2
126,1,3,1
127,2,5,4
128,0,3,1
129,0,2,1
130,9,6,5
131,2,8,6
132,3,8,4
133,2,11,2
134,4,6,4
135,7,11,6
136,0,3,2
137,4,5,4
138,1,4,3
139,1,3,3
140,4,9,8
141,5,8,7
142,2,5,2
143,6,4,6
144,0,3,2
145,4,8,11
146,0,3,1
147,0,3,1
148,1,2,0
149,1,4,6
150,2,11,4
151,5,13,6
152,4,12,5
153,6,4,4
154,2,10,8
155,0,3,3
156,1,5,2
157,1,4,3
158,2,11,8
159,2,10,6
160,5,9,6
161,2,10,5
162,0,3,2
163,4,10,3
164,1,7,7
165,0,2,1
166,2,10,5
167,0,4,3
168,2,4,6
169,0,3,4
170,1,7,5
171,0,3,1
172,1,2,1
173,0,2,1
174,1,2,2
175,2,7,3
176,1,3,7
177,2,7,4
178,0,4,3
179,1,5,3
180,2,2,1
181,1,3,2
182,2,4,4
183,3,5,7
184,3,7,7
185,2,11,6
186,2,9,5
187,1,4,4
188,1,5,4
189,1,8,5
190,1,3,2
191,2,3,6
192,4,7,6
193,7,11,6
194,2,12,9
195,3,13,7
196,1,3,1
197,2,10,8
198,0,3,2
199,6,7,5
200,1,5,5
201,0,3,1
202,9,10,6
203,1,6,7
204,4,8,5
205,2,4,5
206,1,4,3
207,1,4,2
208,9,7,8
209,0,3,1
210,0,3,1
211,8,5,5
212,3,13,7
213,1,3,2
214,3,4,7
215,4,9,3
216,3,5,6
217,1,2,4
218,3,4,9
219,1,3,3
220,4,10,4
221,0,2,1
222,4,5,10
223,6,7,6
224,0,4,2
225,5,7,4
226,11,5,5
227,2,9,3
228,0,3,2
229,5,7,10
230,0,4,3
231,0,3,3
232,2,11,5
233,2,7,6
234,6,10,4
235,1,4,5
236,5,12,7
237,2,6,4
238,5,3,3
239,0,2,1
240,1,3,3
241,0,2,1
242,2,10,10
243,5,11,11
244,8,6,8
245,10,7,5
246,7,8,3
247,4,8,4
248,0,3,1
249,3,12,4
250,1,3,2
251,5,10,7
252,7,10,10
253,2,4,6
254,0,4,3
255,0,3,3
256,0,3,3
257,4,9,4
258,0,3,2
259,7,13,6
260,2,6,8
261,1,3,3
262,8,13,7
263,5,5,2
264,4,8,3
265,1,6,6
266,4,9,2
267,1,5,4
268,4,6,7
269,2,4,4
270,1,5,6
271,1,2,2
272,0,2,1
273,7,9,3
274,8,6,4
275,0,3,1
276,1,3,5
277,3,5,6
278,0,3,2
279,1,5,7
280,9,4,2
281,1,3,2
282,5,9,9
283,9,12,6
284,0,4,2
285,3,13,9
286,2,12,10
287,0,3,3
288,3,5,5
289,0,3,2
290,0,2,1
291,0,3,2
292,3,8,10
293,4,7,3
294,3,5,6
295,1,4,2
296,9,4,9
297,2,12,2
298,0,3,1
299,0,3,1
300,3,7,9
301,0,3,3
302,0,4,2
303,2,5,8
304,2,8,4
305,2,10,4
306,2,5,7
307,5,10,7
308,7,10,7
309,6,4,4
310,0,2,1
311,1,5,8
312,6,5,4
313,3,5,6
314,2,6,2
315,0,2,1
316,1,8,10
317,6,6,4
318,1,2,1
319,7,9,5
320,3,4,9
321,2,8,4
322,4,7,8
323,1,4,1
324,1,3,1
325,9,12,5
326,0,3,1
327,0,2,2
328,5,6,2
329,1,8,5
330,2,5,4
331,5,13,4
332,1,4,6
333,0,3,2
334,1,4,5
335,1,2,1
336,5,10,3
337,0,4,3
338,3,4,7
339,3,5,2
340,1,2,1
341,6,9,4
342,1,4,1
343,11,10,7
344,1,5,5
345,6,7,5
346,0,3,2
347,0,3,2
348,3,12,3
349,0,2,2
350,4,6,4
351,5,4,9
352,1,4,2
353,0,3,2
354,0,4,3
355,1,2,2
356,6,5,7
357,3,6,9
358,0,4,1
359,0,3,2
360,1,3,2
361,0,2,1
362,6,5,4
363,4,9,8
364,5,12,11
365,5,6,8
366,1,6,7
367,0,3,3
368,0,3,2
369,4,5,4
370,0,3,2
371,0,2,1
372,4,7,7
373,2,8,11
374,2,9,8
375,6,6,5
376,9,10,6
377,0,2,1
378,0,3,3
379,0,3,2
380,5,8,3
381,1,3,2
382,2,8,2
383,3,9,2
384,6,5,5
385,7,5,4
386,0,4,2
387,5,9,4
388,10,13,6
389,2,8,4
390,0,4,2
391,1,3,2
392,2,9,4
393,5,7,3
394,6,10,5
395,6,12,5
396,0,2,1
397,0,3,1
398,11,10,6
399,6,12,7
400,0,4,1
401,2,8,7
402,4,8,3
403,1,3,3
404,4,6,9
405,5,8,5
406,0,3,2
407,7,11,4
408,9,4,8
409,0,3,2
410,0,4,2
411,0,4,2
412,3,10,3
413,1,2,0
414,0,3,1
415,1,2,1
416,3,6,5
417,3,7,3
418,10,6,5
419,0,4,1
420,0,3,0
421,9,8,8
422,9,7,4
423,1,3,3
424,1,4,2
425,6,5,9
426,0,3,1
427,0,3,1
428,0,2,1
429,1,5,6
430,7,11,4
431,1,3,2
432,0,2,1
433,2,5,5
434,1,3,2
435,0,3,1
436,3,13,5
437,0,2,1
438,3,12,6
439,1,5,6
440,2,2,1
441,1,6,11
442,11,11,7
443,0,3,3
444,2,8,3
445,0,4,2
446,0,3,0
447,4,5,3
448,2,4,5
449,1,4,5
450,2,8,6
451,6,7,6
452,4,9,7
453,4,8,3
454,3,5,5
455,8,9,2
456,10,13,5
457,0,4,2
458,4,8,5
459,0,3,2
460,0,3,2
461,0,3,2
462,2,5,5
463,3,12,5
464,1,5,2
465,0,3,1
466,0,3,1
467,2,6,3
468,0,4,1
469,1,3,2
470,1,8,7
471,7,10,4
472,2,10,5
473,2,2,1
474,1,2,0
475,1,2,1
476,2,9,5
477,4,6,2
478,1,3,4
479,5,8,6
480,0,3,2
481,1,4,1
482,0,4,1
483,0,3,1
484,3,6,6
485,1,2,1
486,0,3,2
487,1,4,3
488,5,10,4
489,0,3,1
490,4,7,10
491,4,8,6
492,7,9,6
493,0,3,2
494,1,3,2
495,3,4,6
496,2,8,8
497,4,12,2
498,5,12,7
499,3,6,1
500,0,2,1
501,2,7,3
502,8,6,2
503,4,4,5
504,1,3,2
505,1,2,3
506,1,2,1
507,0,4,2
508,3,11,8
509,4,6,5
510,3,6,6
511,1,6,3
512,0,3,5
513,3,13,2
514,4,12,6
515,0,2,1
516,0,3,1
517,3,5,6
518,0,3,1
519,3,10,6
520,2,2,3
521,1,2,0
522,3,6,3
523,4,10,3
524,5,11,5
525,1,4,2
526,10,5,4
527,6,6,4
528,1,7,6
529,0,2,1
530,7,9,9
531,6,7,4
532,0,4,1
533,0,3,4
534,0,3,2
535,3,8,9
536,7,10,7
537,0,2,1
538,2,4,4
539,0,2,1
540,0,3,2
541,3,6,6
542,0,3,1
543,7,13,3
544,1,8,7
545,2,7,4
546,2,9,3
547,8,10,10
548,9,4,8
549,5,8,7
550,1,5,3
551,4,6,8
552,0,4,2
553,4,8,2
554,6,11,3
555,1,4,2
556,6,10,2
557,7,9,6
558,0,3,1
559,5,9,8
560,6,4,4
561,4,4,5
562,0,3,1
563,2,5,2
564,0,3,3
565,1,4,2
566,3,4,6
567,6,6,8
568,1,2,1
569,10,5,7
570,7,9,6
571,0,3,3
572,0,2,1
573,4,9,3
574,10,8,4
575,0,3,1
576,0,3,1
577,3,6,5
578,7,8,4
579,1,5,4
580,1,5,6
581,0,4,4
582,5,3,2
583,2,7,5
584,1,6,3
585,6,9,11
586,2,4,4
587,0,3,2
588,8,4,5
589,4,7,3
590,2,12,4
591,0,2,1
592,2,5,6
593,2,4,5
594,0,3,1
595,3,12,5
596,1,7,4
597,0,3,1
598,0,2,1
599,0,3,2
600,3,11,5
601,9,6,7
602,4,10,4
603,1,3,2
604,0,2,1
605,0,3,1
606,4,6,4
607,10,4,5
608,6,7,6
609,1,3,5
610,4,10,4
611,4,8,6
612,4,10,4
613,0,4,3
614,1,5,4
615,0,3,1
616,8,11,7
617,4,4,5
618,9,13,2
619,0,3,1
620,1,8,8
621,1,3,3
622,0,3,3
623,1,5,7
624,1,8,4
625,2,12,6
626,0,3,2
627,6,9,9
628,0,4,2
629,1,4,4
630,3,7,7
631,1,4,3
632,7,9,5
633,4,5,2
634,1,6,7
635,1,6,3
636,0,4,2
637,1,4,2
638,1,5,6
639,9,13,8
640,5,12,2
641,2,7,3
642,1,4,7
643,2,9,2
644,3,9,9
645,3,4,2
646,5,13,5
647,2,7,11
648,9,10,4
649,8,6,6
650,4,10,4
651,0,3,1
652,1,5,4
653,4,10,7
654,3,13,7
655,0,3,3
656,4,9,7
657,0,3,2
658,8,12,2
659,6,8,11
660,5,9,7
661,3,6,5
662,5,5,2
663,0,4,4
664,1,3,3
665,1,2,1
666,3,7,4
667,4,8,5
668,1,2,5
669,0,2,1
670,0,3,1
671,3,5,4
672,1,3,1
673,0,4,3
674,0,3,2
675,1,5,2
676,1,3,2
677,1,5,4
678,1,6,3
679,10,5,5
680,2,9,8
681,8,12,6
682,2,12,4
683,4,8,8
684,2,4,3
685,3,8,5
686,0,3,4
687,1,2,2
688,1,3,3
689,3,8,6
690,0,3,2
691,3,6,4
692,0,4,2
693,0,4,4
694,6,8,4
695,0,3,3
696,5,11,8
697,5,11,7
698,3,7,8
699,4,10,7
700,0,3,2
701,0,4,3
702,6,8,4
703,2,2,2
704,1,2,2
705,3,10,6
706,2,6,3
707,5,6,5
708,0,3,2
709,4,9,2
710,0,2,1
711,7,9,5
712,0,3,3
713,5,12,6
714,6,11,7
715,5,8,3
716,1,8,9
717,5,12,5
718,1,4,2
719,0,2,1
720,1,3,2
721,2,11,7
722,2,9,9
723,6,13,7
724,0,3,1
725,4,7,4
726,2,11,8
727,2,3,2
728,1,4,6
729,0,3,1
730,2,2,3
731,5,13,4
732,3,13,9
733,1,2,3
734,3,13,7
735,0,3,1
736,1,2,1
737,0,3,2
738,0,3,1
739,2,9,9
740,7,6,4
741,3,12,7
742,6,8,5
743,1,4,4
744,3,12,8
745,2,6,10
746,8,4,11
747,0,0,0
748,8,13,2
749,3,12,11
750,2,2,2
751,1,5,7
752,2,8,6
753,2,5,8
754,7,12,7
755,6,5,7
756,2,2,3
757,0,2,1
758,0,4,4
759,2,9,6
760,1,4,2
761,0,3,3
762,2,8,11
763,1,8,5
764,1,2,2
765,5,4,8
766,10,7,10
767,4,11,6
768,1,2,1
769,1,4,3
770,3,5,4
771,1,5,5
772,3,6,4
773,0,4,2
774,0,3,1
775,6,4,4
776,9,13,6
777,1,4,6
778,5,4,6
779,10,11,11
780,4,7,7
781,2,2,3
782,4,4,7
783,10,7,5
784,2,10,8
785,1,6,5
786,9,6,5
787,1,8,5
788,1,4,2
789,1,3,1
790,2,5,3
791,2,4,5
792,0,3,0
793,1,6,4
794,2,8,4
795,7,11,6
796,9,9,7
797,1,3,2
798,1,3,2
799,1,2,2
800,0,1,1
801,6,9,4
802,1,6,4
803,0,2,1
804,1,4,3
805,1,6,4
806,2,6,10
807,1,3,1
808,6,6,7
809,0,2,1
810,0,3,2
811,0,2,1
812,11,5,11
813,0,1,0
814,10,5,5
815,4,12,6
816,5,10,4
817,1,7,8
818,1,3,2
819,0,3,1
820,6,11,3
821,1,3,2
822,0,3,1
823,6,12,5
824,1,2,1
825,3,5,3
826,0,4,3
827,0,4,2
828,1,3,2
829,3,3,7
830,1,6,3
831,0,3,3
832,4,12,5
833,5,12,5
834,4,7,4
835,3,12,6
836,4,8,9
837,1,3,1
838,5,12,7
839,2,6,7
840,10,12,5
841,0,3,2
842,2,5,3
843,3,6,8
844,1,5,1
845,0,3,2
846,1,6,6
847,0,3,1
848,1,4,2
849,1,3,1
850,8,9,7
851,2,10,5
852,1,6,11
853,2,5,7
854,10,6,2
855,0,4,2
856,7,9,3
857,7,8,6
858,11,5,2
859,5,11,9
860,7,10,3
861,1,6,3
862,7,9,2
863,0,3,1
864,0,3,1
865,1,3,1
866,5,3,3
867,2,8,3
868,2,2,2
869,7,9,9
870,1,7,3
871,2,13,3
872,4,10,5
873,5,7,4
874,1,6,8
875,9,9,6
876,7,13,4
877,0,4,3
878,7,12,5
879,1,4,3
880,10,5,3
881,5,4,10
882,0,4,3
883,3,5,10
884,6,8,9
885,6,12,7
886,2,8,2
887,5,13,6
888,11,9,3
889,1,8,8
890,1,2,4
891,1,5,7
892,8,4,4
893,0,3,1
894,1,4,1
895,1,4,2
896,1,4,1
897,2,9,6
898,4,11,8
899,0,4,2
900,6,11,7
901,1,4,3
902,6,7,6
903,2,6,8
904,3,11,6
905,3,12,10
906,8,5,4
907,3,5,4
908,0,3,1
909,0,3,1
910,0,2,1
911,0,2,1
912,2,9,4
913,10,5,5
914,2,2,2
915,5,13,8
916,0,2,1
917,0,2,3
918,7,10,7
919,0,3,1
920,1,3,4
921,1,8,5
922,0,4,3
923,0,3,1
924,0,3,2
925,5,13,11
926,2,12,5
927,0,3,3
928,0,3,1
929,1,6,4
930,4,9,2
931,4,12,10
932,7,9,7
933,2,5,4
934,1,4,2
935,11,4,2
936,1,5,5
937,6,9,4
938,1,4,1
939,1,8,11
940,1,2,3
941,5,13,7
942,5,4,4
943,0,3,1
944,0,3,1
945,2,3,2
946,1,4,2
947,0,3,0
948,9,11,5
949,5,3,4
950,2,5,4
951,6,7,10
952,1,2,3
953,4,10,4
954,0,2,2
955,1,4,4
956,7,11,2
957,0,2,2
958,0,3,1
959,6,11,6
960,6,4,6
961,0,3,1
962,4,13,6
963,1,7,7
964,0,3,3
965,5,5,5
966,4,5,5
967,4,8,4
968,7,6,5
969,6,5,7
970,1,3,2
971,10,11,4
972,4,8,9
973,0,3,1
974,3,12,4
975,9,13,4
976,0,3,2
977,0,3,2
978,3,12,6
979,5,7,3
980,0,3,1
981,2,6,6
982,0,4,4
983,0,2,1
984,0,2,1
985,3,5,4
986,4,9,7
987,8,5,8
988,4,6,9
989,2,7,8
990,7,5,10
991,1,3,2
992,0,3,1
993,0,3,1
994,1,3,1
995,2,8,10
996,1,3,2
997,0,4,1
998,0,3,2
999,2,4,4
1000,0,3,1
1001,0,3,1
1002,0,4,1
1003,5,3,8
1004,9,5,6
1005,1,4,2
1006,2,4,3
1007,1,3,3
1008,1,2,1
1009,1,5,5
1010,0,4,3
1011,3,13,7
1012,1,2,2
1013,6,5,4
1014,4,9,6
1015,0,3,1
1016,0,4,2
1017,0,4,2
1018,1,4,3
1019,3,6,5
1020,0,3,0
1021,6,7,3
1022,6,7,3
1023,3,4,6
1024,0,3,1
1025,0,3,3
1026,4,10,3
1027,1,6,7
1028,1,2,3
1029,28,0,0
1030,8,5,5
1031,2,5,6
1032,0,3,1
1033,1,4,1
1034,7,13,9
1035,6,7,10
1036,0,2,1
1037,1,4,4
1038,2,8,9
1039,2,6,5
1040,7,12,4
